{
{0.111892 + 0.523052 I,-0.108129 - 0.0432387 I, 0.343178 + 0.282662 I, -0.0795876 - 0.188787 I, 0.17109 + 0.453712 I, 0.377329 + 0.288423 I} ,
{0.407716 + 0.368858 I, -0.00768677 - 0.393025 I, 0.128778 + 0.313549 I, -0.307889 - 0.296351 I, 0.0714825 + 0.298811 I, 0.388693 + 0.0136816 I},
{0.355187 + 0.322184 I, -0.265749 - 0.202847 I, 0.331512 + 0.0356363 I, -0.260879 - 0.468225 I, 0.102948 + 0.412477 I, 0.110708 + 0.258485 I},
{0.175116 + 0.122185 I, -0.16636 - 0.42657 I, 0.414313 + 0.359176 I, -0.332883 - 0.24161 I, 0.22983 + 0.412525 I, 0.120875 + 0.193156 I},
{0.364921 + 0.176103 I, -0.00647165 - 0.394003 I, 0.212592 + 0.46351 I, -0.227723 - 0.325213 I, 0.0691224 + 0.115189 I, 0.397409 + 0.294792 I},
{0.401079 + 0.110855 I, -0.337574 - 0.347727 I, 0.431798 + 0.28078 I, -0.166377 - 0.314294 I, 0.117086 + 0.0500005 I, 0.393573 + 0.170641 I},
{0.334827 + 0.055462 I, -0.490534 - 0.146272 I, 0.118309 + 0.283176 I, -0.0587623 - 0.202301 I, 0.049435 + 0.26951 I, 0.408261 + 0.492418 I},
{0.107562 + 0.443344 I, -0.0301349 - 0.255191 I, 0.164846 + 0.43225 I, -0.144087 - 0.184834 I, 0.273264 + 0.254321 I, 0.367911 + 0.426844 I},
{0.066869 + 0.521486 I, -0.202753 - 0.277338 I, 0.0261968 + 0.287846 I, -0.371334 - 0.419589 I, 0.220798 + 0.2849 I, 0.279039 + 0.0169696 I},
{0.353426 + 0.226781 I, -0.18937 - 0.138958 I, 0.469631 + 0.281528 I, -0.370482 - 0.00748446 I, 0.150145 + 0.344513 I, 0.374239 + 0.223784 I},
{0.00768298 + 0.143923 I, -0.320422 - 0.313902 I, 0.0160704 + 0.421098 I, -0.0837146 - 0.360459 I, 0.128928 + 0.220501 I, 0.432737 + 0.459344 I},
{0.0614432 + 0.228877 I, -0.0814533 - 0.0703578 I, 0.400828 + 0.420533 I, -0.0357287 - 0.303862 I, 0.360387 + 0.345495 I, 0.269896 + 0.423137 I},
{0.15709 + 0.126108 I, -0.414855 - 0.0972412 I, 0.222721 + 0.223499 I, -0.319385 - 0.077337 I, 0.391587 + 0.144722 I, 0.42285 + 0.466077 I},
{0.164948 + 0.407063 I, -0.405111 - 0.0366144 I, 0.414667 + 0.380709 I, -0.168562 - 0.298787 I, 0.222778 + 0.219066 I, 0.315636 + 0.0990707 I},
{0.137977 + 0.0836697 I, -0.29125 - 0.391866 I, 0.41927 + 0.0583448 I, -0.240325 - 0.538649 I, 0.228906 + 0.289821 I, 0.26698 + 0.0285146 I},
{0.409367 + 0.177462 I, -0.172083 - 0.209685 I, 0.446981 + 0.253865 I, -0.0288254 - 0.463349 I, 0.0588093 + 0.257118 I, 0.2959 + 0.30076 I},
{0.0244682 + 0.569648 I, -0.0732457 - 0.170501 I, 0.114913 + 0.0779263 I, -0.121807 - 0.195222 I, 0.479035 + 0.282817 I, 0.469984 + 0.194667 I},
{0.438008 + 0.301758 I, -0.432615 - 0.00983305 I, 0.303448 + 0.275651 I, -0.147408 - 0.347288 I, 0.164557 + 0.0351634 I, 0.326916 + 0.290254 I},
{0.0360898 + 0.177481 I, -0.318088 - 0.0599924 I, 0.332636 + 0.475232 I, -0.256105 - 0.248636 I, 0.0215092 + 0.439086 I, 0.02271 + 0.452484 I},
{0.342851 + 0.376348 I, -0.390355 - 0.0801082 I, 0.354856 + 0.31167 I, -0.266025 - 0.0532695 I, 0.211369 + 0.181177 I, 0.315095 + 0.329494 I},
{0.0817604 + 0.023911 I, -0.192302 - 0.0483619 I, 0.0492741 + 0.477839 I, -0.115179 - 0.540313 I, 0.362698 + 0.201284 I, 0.161176 + 0.468423 I},
{0.432594 + 0.0776891 I, -0.469814 - 0.113212 I, 0.342329 + 0.468444 I, -0.0701621 - 0.407799 I, 0.0271441 + 0.0901485 I, 0.150503 + 0.184171 I},
{0.161952 + 0.433266 I, -0.0738325 - 0.379702 I, 0.351424 + 0.0451843 I, -0.361199 - 0.451351 I, 0.0704169 + 0.39924 I, 0.0991646 + 0.0501915 I},
{0.143683 + 0.072135 I, -0.24749 - 0.228343 I, 0.270817 + 0.0764913 I, -0.464451 - 0.107678 I, 0.392325 + 0.341121 I, 0.465706 + 0.259024 I},
{0.165646 + 0.163722 I, -0.0347387 - 0.353324 I, 0.476487 + 0.425313 I, -0.378864 - 0.0911846 I, 0.356659 + 0.0758252 I, 0.347898 + 0.0770746 I},
{0.309262 + 0.314103 I, -0.321968 - 0.425268 I, 0.355333 + 0.00445158 I, -0.237437 - 0.147006 I, 0.122297 + 0.279658 I, 0.263421 + 0.392881 I},
{0.078173 + 0.292825 I, -0.00134918 - 0.405454 I, 0.337096 + 0.206464 I, -0.432577 - 0.404048 I, 0.08197 + 0.275712 I, 0.320852 + 0.226775 I},
{0.00327694 + 0.332956 I, -0.026026 - 0.353734 I, 0.453265 + 0.10031 I, -0.348364 - 0.33567 I, 0.456256 + 0.105227 I, 0.305754 + 0.032454 I},
{0.364199 + 0.389302 I, -0.321477 - 0.0840522 I, 0.385398 + 0.214589 I, -0.279748 - 0.324688 I, 0.203282 + 0.0494769 I, 0.35411 + 0.240757 I},
{0.381454 + 0.13729 I, -0.447659 - 0.0476083 I, 0.350127 + 0.389816 I, -0.140908 - 0.372233 I, 0.00878675 + 0.12796 I, 0.252167 + 0.346385 I},
{0.00401187 + 0.119666 I, -0.61694 - 0.125294 I, 0.109921 + 0.18015 I, -0.225177 - 0.308836 I, 0.290597 + 0.129614 I, 0.513111 + 0.184929 I},
{0.53789 + 0.0263803 I, -0.0951131 - 0.468431 I, 0.219261 + 0.0113208 I, -0.255797 - 0.371813 I, 0.0648126 + 0.304956 I, 0.357963 + 0.0654821 I},
{0.294183 + 0.0378504 I, -0.361368 - 0.0589698 I, 0.38342 + 0.260241 I, -0.227151 - 0.140378 I, 0.477401 + 0.428639 I, 0.198858 + 0.201824 I},
{0.0195721 + 0.286076 I, -0.375504 - 0.110045 I, 0.237642 + 0.0101865 I, -0.497355 - 0.406754 I, 0.501328 + 0.0565541 I, 0.141075 + 0.144384 I},
{0.113095 + 0.208919 I, -0.204512 - 0.297515 I, 0.232191 + 0.13722 I, -0.275894 - 0.491792 I, 0.160563 + 0.457229 I, 0.371918 + 0.222127 I},
{0.0489795 + 0.579489 I, -0.20211 - 0.0544501 I, 0.161482 + 0.108538 I, -0.288863 - 0.345039 I, 0.453589 + 0.0622308 I, 0.404982 + 0.063277 I},
{0.0875025 + 0.386982 I, -0.0521026 - 0.26973 I, 0.3305 + 0.395922 I, -0.125846 - 0.283913 I, 0.315126 + 0.116979 I, 0.306059 + 0.445007 I},
{0.133269 + 0.106915 I, -0.572457 - 0.479696 I, 0.00324024 + 0.0545424 I, -0.465255 - 0.0615546 I, 0.292268 + 0.086333 I, 0.203721 + 0.235329 I},
{0.152133 + 0.334463 I, -0.188907 - 0.328706 I, 0.445712 + 0.0294251 I, -0.331327 - 0.352671 I, 0.238858 + 0.25589 I, 0.283285 + 0.291193 I},
{0.501594 + 0.172965 I, -0.237781 - 0.14502 I, 0.246236 + 0.526068 I, -0.342114 - 0.0301225 I, 0.331199 + 0.199657 I, 0.12908 + 0.139177 I},
{0.233906 + 0.191169 I, -0.34209 - 0.323496 I, 0.152705 + 0.142107 I, -0.384809 - 0.475431 I, 0.375242 + 0.125064 I, 0.118038 + 0.31474 I},
{0.0370735 + 0.432912 I, -0.00289899 - 0.398675 I, 0.498205 + 0.104622 I, -0.115884 - 0.245392 I, 0.221611 + 0.361566 I, 0.0160128 + 0.373315 I},
{0.129791 + 0.381234 I, -0.296567 - 0.372371 I, 0.112768 + 0.379923 I, -0.233938 - 0.122318 I, 0.414814 + 0.047351 I, 0.0866001 + 0.45016 I},
{0.108918 + 0.0882928 I, -0.482552 - 0.261729 I, 0.383195 + 0.338766 I, -0.372507 - 0.223958 I, 0.0252087 + 0.356537 I, 0.108178 + 0.29834 I},
{0.122224 + 0.120045 I, -0.199594 - 0.179899 I, 0.457068 + 0.477304 I, -0.248554 - 0.159357 I, 0.0823426 + 0.540143 I, 0.107376 + 0.25393 I},
{0.101313 + 0.569664 I, -0.30852 - 0.345951 I, 0.0539846 + 0.490468 I, -0.0680675 - 0.0656347 I, 0.314397 + 0.303368 I, 0.0703667 + 0.0459194 I},
{0.387747 + 0.0499052 I, -0.0834694 - 0.30583 I, 0.26379 + 0.282309 I, -0.422704 - 0.120647 I, 0.0815241 + 0.190627 I, 0.426071 + 0.42382 I},
{0.438592 + 0.297585 I, -0.192027 - 0.387674 I, 0.0688217 + 0.266407 I, -0.268396 - 0.233118 I, 0.0287901 + 0.396485 I, 0.226644 + 0.347028 I},
{0.324154 + 0.22631 I, -0.068931 - 0.420966 I, 0.391012 + 0.380357 I, -0.400723 - 0.341458 I, 0.251774 + 0.0828651 I, 0.12796 + 0.0194673 I},
{0.199227 + 0.33975 I, -0.487189 - 0.0327934 I, 0.471412 + 0.250251 I, -0.271532 - 0.0125748 I, 0.32758 + 0.258658 I, 0.204322 + 0.178179 I},
{0.0820714 + 0.325489 I, -0.445591 - 0.178283 I, 0.271644 + 0.245832 I, -0.133649 - 0.34714 I, 0.467989 + 0.10032 I, 0.291409 + 0.265323 I},
{0.353627 + 0.180546 I, -0.285474 - 0.13258 I, 0.031529 + 0.390424 I, -0.495325 - 0.363609 I, 0.0151385 + 0.135601 I, 0.19154 + 0.396221 I},
{0.182645 + 0.0827209 I, -0.27198 - 0.317161 I, 0.206785 + 0.428414 I, -0.292337 - 0.349731 I, 0.134599 + 0.483246 I, 0.16673 + 0.267806 I},
{0.0140376 + 0.137576 I, -0.0881924 - 0.349127 I, 0.387645 + 0.461888 I, -0.502287 - 0.166416 I, 0.123805 + 0.34358 I, 0.259094 + 0.0843071 I},
{0.317332 + 0.492026 I, -0.256518 - 0.265764 I, 0.147759 + 0.0508813 I, -0.0768332 - 0.408905 I, 0.0406438 + 0.487498 I, 0.147901 + 0.24914 I},
{0.294233 + 0.217692 I, -0.316318 - 0.0391423 I, 0.369332 + 0.476019 I, -0.168348 - 0.417731 I, 0.368894 + 0.0270511 I, 0.248542 + 0.00440454 I},
{0.435081 + 0.0295399 I, -0.0356693 - 0.0779012 I, 0.0637606 + 0.102152 I, -0.298326 - 0.0684221 I, 0.4586 + 0.278393 I, 0.440827 + 0.460614 I},
{0.41565 + 0.225019 I, -0.0843142 - 0.267809 I, 0.395869 + 0.0371757 I, -0.155394 - 0.501659 I, 0.131355 + 0.150862 I, 0.473024 + 0.0101362 I},
{0.0185006 + 0.207294 I, -0.00714606 - 0.342169 I, 0.0815001 + 0.188218 I, -0.352614 - 0.378386 I, 0.236933 + 0.250447 I, 0.451663 + 0.455099 I},
{0.315557 + 0.404965 I, -0.278908 - 0.320574 I, 0.061791 + 0.400276 I, -0.205556 - 0.242448 I, 0.0317908 + 0.470363 I, 0.251914 + 0.0712983 I},
{0.110183 + 0.23013 I, -0.12029 - 0.298618 I, 0.385874 + 0.393883 I, -0.427065 - 0.123405 I, 0.377111 + 0.195417 I, 0.348824 + 0.165902 I},
{0.346958 + 0.494847 I, -0.1572 - 0.237872 I, 0.109713 + 0.221304 I, -0.296344 - 0.203321 I, 0.212832 + 0.0810012 I, 0.223384 + 0.511391 I},
{0.394016 + 0.251252 I, -0.358487 - 0.071351 I, 0.39966 + 0.0338973 I, -0.383154 - 0.359332 I, 0.0188706 + 0.389513 I, 0.242545 + 0.0176599 I},
{0.417653 + 0.267359 I, -0.356638 - 0.257765 I, 0.215885 + 0.399317 I, -0.287325 - 0.132085 I, 0.113469 + 0.262034 I, 0.397445 + 0.122024 I},
{0.387355 + 0.0140939 I, -0.384109 - 0.223486 I, 0.278402 + 0.106443 I, -0.229195 - 0.266482 I, 0.361544 + 0.363829 I, 0.312066 + 0.281817 I},
{0.234452 + 0.299556 I, -0.321348 - 0.170508 I, 0.1928 + 0.450714 I, -0.433403 - 0.500401 I, 0.118069 + 0.0395444 I, 0.0688984 + 0.155422 I},
{0.0505872 + 0.084158 I, -0.532275 - 0.355185 I, 0.0297294 + 0.0863781 I, -0.0901253 - 0.290851 I, 0.122447 + 0.555474 I, 0.079577 + 0.387229 I},
{0.433244 + 0.39512 I, -0.0802151 - 0.320025 I, 0.0733715 + 0.00799513 I, -0.321672 - 0.464924 I, 0.200491 + 0.245931 I, 0.320427 + 0.137488 I},
{0.183602 + 0.204009 I, -0.454243 - 0.110282 I, 0.174701 + 0.386619 I, -0.434357 - 0.313718 I, 0.240608 + 0.267453 I, 0.0574727 + 0.326137 I},
{0.188869 + 0.288201 I, -0.218445 - 0.0814606 I, 0.0578189 + 0.302348 I, -0.201286 - 0.0334848 I, 0.278093 + 0.213194 I, 0.00600901 + 0.753456 I},
{0.0601981 + 0.00812419 I, -0.00403712 - 0.302214 I, 0.222168 + 0.0710221 I, -0.51288 - 0.242234 I, 0.439069 + 0.039168 I, 0.344576 + 0.464528 I},
{0.0249811 + 0.20628 I, -0.480568 - 0.110731 I, 0.157914 + 0.313707 I, -0.31602 - 0.311883 I, 0.348051 + 0.279571 I, 0.354975 + 0.260426 I},
{0.428644 + 0.143121 I, -0.313031 - 0.271255 I, 0.278659 + 0.159582 I, -0.0638007 - 0.379549 I, 0.0529843 + 0.326834 I, 0.371663 + 0.353845 I},
{0.439 + 0.116629 I, -0.450483 - 0.429155 I, 0.251972 + 0.057646 I, -0.308162 - 0.267436 I, 0.229671 + 0.236541 I, 0.211007 + 0.141578 I},
{0.212094 + 0.0746622 I, -0.367979 - 0.195174 I, 0.129 + 0.409413 I, -0.382645 - 0.41893 I, 0.268516 + 0.303508 I, 0.198715 + 0.257013 I},
{0.270308 + 0.0874034 I, -0.368925 - 0.133473 I, 0.0369977 + 0.470955 I, -0.458256 - 0.0708003 I, 0.434844 + 0.341101 I, 0.110609 + 0.0975678 I},
{0.0358625 + 0.140943 I, -0.0141956 - 0.25468 I, 0.14596 + 0.407522 I, -0.419967 - 0.164599 I, 0.401747 + 0.326063 I, 0.316913 + 0.393434 I},
{0.154481 + 0.381217 I, -0.171905 - 0.412854 I, 0.473057 + 0.0412953 I, -0.161314 - 0.295393 I, 0.0980408 + 0.18947 I, 0.474878 + 0.144989 I},
{0.336792 + 0.203235 I, -0.239567 - 0.283886 I, 0.391828 + 0.0273534 I, -0.220051 - 0.258186 I, 0.417161 + 0.12341 I, 0.367476 + 0.337092 I},
{0.310212 + 0.40499 I, -0.118757 - 0.0070068 I, 0.387925 + 0.22886 I, -0.406181 - 0.172173 I, 0.407997 + 0.0171389 I, 0.398275 + 0.0522617 I},
{0.141828 + 0.0827569 I, -0.450911 - 0.363438 I, 0.517691 + 0.469082 I, -0.181985 - 0.173684 I, 0.154169 + 0.15768 I, 0.00700325 + 0.193962 I},
{0.483322 + 0.479766 I, -0.332291 - 0.383513 I, 0.0460527 + 0.219836 I, -0.113006 - 0.186533 I, 0.0249379 + 0.208243 I, 0.310047 + 0.201482 I},
{0.43843 + 0.0805642 I, -0.307479 - 0.132348 I, 0.258513 + 0.169714 I, -0.341686 - 0.319908 I, 0.371716 + 0.176843 I, 0.122105 + 0.436064 I},
{0.577602 + 0.371308 I, -0.0253628 - 0.442264 I, 0.123188 + 0.213791 I, -0.279367 - 0.2615 I, 0.0237134 + 0.117116 I, 0.312532 + 0.114024 I},
{0.0956255 + 0.0294749 I, -0.48341 - 0.465028 I, 0.339479 + 0.1521 I, -0.318936 - 0.279305 I, 0.397657 + 0.151393 I, 0.192923 + 0.0605613 I},
{0.429822 + 0.165303 I, -0.185022 - 0.289452 I, 0.030415 + 0.411201 I, -0.13403 - 0.396282 I, 0.278178 + 0.444513 I, 0.0347517 + 0.220716 I},
{0.0122478 + 0.0672159 I, -0.162797 - 0.356498 I, 0.521566 + 0.131337 I, -0.0364319 - 0.596478 I, 0.317319 + 0.0636765 I, 0.0363381 + 0.298795 I},
{0.0862677 + 0.2414 I, -0.122635 - 0.0770596 I, 0.129659 + 0.446153 I, -0.377191 - 0.516282 I, 0.38194 + 0.202359 I, 0.0217552 + 0.318311 I},
{0.134104 + 0.328148 I, -0.13953 - 0.307785 I, 0.110141 + 0.204655 I, -0.172511 - 0.519219 I, 0.372204 + 0.00423351 I, 0.0521837 + 0.515262 I},
{0.00887855 + 0.209104 I, -0.244545 - 0.104651 I, 0.228271 + 0.281665 I, -0.461996 - 0.189534 I, 0.230909 + 0.381198 I, 0.260517 + 0.487992 I},
{0.387097 + 0.349688 I, -0.255822 - 0.12875 I, 0.0546698 + 0.413405 I, -0.31229 - 0.356579 I, 0.231392 + 0.196045 I, 0.267525 + 0.289379 I},
{0.0677363 + 0.210073 I, -0.110833 - 0.0351054 I, 0.0806106 + 0.255728 I, -0.497502 - 0.379642 I, 0.389848 + 0.259571 I, 0.410646 + 0.293675 I},
{0.38017 + 0.235656 I, -0.423822 - 0.121372 I, 0.460984 + 0.274216 I, -0.19621 - 0.313957 I, 0.185894 + 0.351252 I, 0.146041 + 0.0393685 I},
{0.298855 + 0.147961 I, -0.427135 - 0.398701 I, 0.253781 + 0.273239 I, -0.0362103 - 0.297763 I, 0.150369 + 0.383309 I, 0.332018 + 0.196407 I},
{0.334004 + 0.318447 I, -0.0880723 - 0.0129311 I, 0.436979 + 0.39981 I, -0.0451164 - 0.126841 I, 0.177006 + 0.0370761 I, 0.439862 + 0.428954 I},
{0.0112635 + 0.29613 I, -0.169653 - 0.360593 I, 0.119821 + 0.275425 I, -0.4076 - 0.304079 I, 0.291247 + 0.438606 I, 0.0152069 + 0.35654 I},
{0.450612 + 0.444635 I, -0.235983 - 0.27443 I, 0.0356981 + 0.0448769 I, -0.3616 - 0.329436 I, 0.177082 + 0.314155 I, 0.221203 + 0.216091 I},
{0.268577 + 0.383965 I, -0.341665 - 0.0264482 I, 0.0608697 + 0.399311 I, -0.229625 - 0.106465 I, 0.36224 + 0.0996503 I, 0.465625 + 0.278983 I},
{0.224983 + 0.23293 I, -0.446551 - 0.0192613 I, 0.206196 + 0.255184 I, -0.318051 - 0.421079 I, 0.376805 + 0.161645 I, 0.373447 + 0.0409027 I},
{0.197014 + 0.016066 I, -0.308864 - 0.26566 I, 0.23715 + 0.0899163 I, -0.394518 - 0.274703 I, 0.305494 + 0.421056 I, 0.440575 + 0.186556 I},
{0.200521 + 0.209702 I, -0.17457 - 0.276755 I, 0.384183 + 0.269419 I, -0.334419 - 0.361707 I, 0.122118 + 0.365525 I, 0.376775 + 0.235405 I},
{0.187771 + 0.222714 I, -0.210175 - 0.119623 I, 0.138328 + 0.229152 I, -0.378684 - 0.380415 I, 0.299154 + 0.435983 I, 0.137254 + 0.445513 I},
{0.33996 + 0.4303 I, -0.181927 - 0.0230423 I, 0.165353 + 0.287092 I, -0.310361 - 0.528099 I, 0.0144195 + 0.172946 I, 0.320245 + 0.219063 I},
{0.194084 + 0.378599 I, -0.375772 - 0.00390411 I, 0.406561 + 0.407806 I, -0.338679 - 0.294888 I, 0.161512 + 0.0624877 I, 0.328736 + 0.0803564 I},
{0.247189 + 0.283758 I, -0.299836 - 0.0318714 I, 0.462823 + 0.139894 I, -0.338955 - 0.0738745 I, 0.230301 + 0.119186 I, 0.481382 + 0.338181 I},
{0.243954 + 0.344679 I, -0.0816261 - 0.364433 I, 0.436565 + 0.190543 I, -0.337593 - 0.21375 I, 0.404011 + 0.0778262 I, 0.304145 + 0.184034 I},
{0.0328804 + 0.081918 I, -0.3486 - 0.388807 I, 0.144351 + 0.198254 I, -0.221968 - 0.579846 I, 0.385838 + 0.264751 I, 0.0123735 + 0.23402 I},
{0.307265 + 0.168303 I, -0.442476 - 0.140746 I, 0.0313563 + 0.227864 I, -0.269553 - 0.267143 I, 0.352093 + 0.426482 I, 0.378589 + 0.12471 I},
{0.0754752 + 0.402338 I, -0.345276 - 0.218685 I, 0.174032 + 0.221888 I, -0.173532 - 0.322064 I, 0.0896496 + 0.543429 I, 0.164072 + 0.348937 I},
{0.428994 + 0.244497 I, -0.4039 - 0.14269 I, 0.250012 + 0.406965 I, -0.312205 - 0.0772372 I, 0.234016 + 0.337441 I, 0.185064 + 0.195569 I},
{0.409803 + 0.175994 I, -0.296328 - 0.364163 I, 0.216398 + 0.317501 I, -0.38979 - 0.173895 I, 0.316546 + 0.180583 I, 0.20643 + 0.274639 I},
{0.293806 + 0.365303 I, -0.345197 - 0.325979 I, 0.021179 + 0.339501 I, -0.0484418 - 0.0274263 I, 0.39576 + 0.15098 I, 0.336836 + 0.378313 I},
{0.286825 + 0.218037 I, -0.288235 - 0.391739 I, 0.15698 + 0.393485 I, -0.383368 - 0.233737 I, 0.217437 + 0.148642 I, 0.385625 + 0.18573 I},
{0.0813774 + 0.371317 I, -0.400033 - 0.260927 I, 0.393218 + 0.140917 I, -0.151368 - 0.204247 I, 0.453682 + 0.256934 I, 0.175302 + 0.292766 I},
{0.330291 + 0.281548 I, -0.38187 - 0.00782854 I, 0.11773 + 0.123305 I, -0.417684 - 0.285514 I, 0.32632 + 0.317253 I, 0.282589 + 0.306136 I},
{0.204866 + 0.199578 I, -0.428805 - 0.164222 I, 0.143608 + 0.281675 I, -0.351583 - 0.358955 I, 0.302664 + 0.159722 I, 0.340056 + 0.349539 I},
{0.217361 + 0.429645 I, -0.206177 - 0.080074 I, 0.000120608 + 0.271212 I, -0.315467 - 0.230747 I, 0.137663 + 0.556883 I, 0.189971 + 0.357436 I},
{0.181153 + 0.481979 I, -0.20143 - 0.0627732 I, 0.0454506 + 0.555019 I, -0.081355 - 0.332011 I, 0.309857 + 0.201382 I, 0.00140755 + 0.356141 I},
{0.0899307 + 0.103804 I, -0.0218945 - 0.323198 I, 0.304588 + 0.531677 I, -0.14282 - 0.0625972 I, 0.056093 + 0.353584 I, 0.417054 + 0.417526 I},
{0.311961 + 0.113476 I, -0.529338 - 0.603713 I, 0.21888 + 0.0607482 I, -0.162193 - 0.0177926 I, 0.108848 + 0.259376 I, 0.122917 + 0.269594 I},
{0.1332 + 0.475299 I, -0.0423908 - 0.204329 I, 0.329468 + 0.530019 I, -0.0561176 - 0.0888913 I, 0.456096 + 0.315206 I, 0.000295359 + 0.0700238 I},
{0.269453 + 0.382514 I, -0.280613 - 0.418455 I, 0.148053 + 0.105264 I, -0.30257 - 0.277702 I, 0.314262 + 0.401165 I, 0.234866 + 0.103471 I},
{0.105224 + 0.356867 I, -0.373407 - 0.0139196 I, 0.108764 + 0.485753 I, -0.331737 - 0.0239789 I, 0.38503 + 0.437311 I, 0.145313 + 0.0541543 I},
{0.333822 + 0.391848 I, -0.375897 - 0.367147 I, 0.275077 + 0.0739574 I, -0.37657 - 0.150095 I, 0.13958 + 0.35429 I, 0.168238 + 0.200361 I},
{0.42723 + 0.00346941 I, -0.353781 - 0.406393 I, 0.481377 + 0.00483798 I, -0.467608 - 0.0361025 I, 0.0985242 + 0.0312008 I, 0.237356 + 0.0917609 I},
{0.291837 + 0.276963 I, -0.120635 - 0.308864 I, 0.0521755 + 0.436584 I, -0.387653 - 0.0859635 I, 0.224939 + 0.484536 I, 0.301836 + 0.0264967 I},
{0.221015 + 0.122446 I, -0.362613 - 0.435593 I, 0.229021 + 0.401669 I, -0.29375 - 0.199062 I, 0.338534 + 0.235622 I, 0.285811 + 0.15302 I},
{0.175671 + 0.394948 I, -0.0853431 - 0.294832 I, 0.336974 + 0.373055 I, -0.236912 - 0.426053 I, 0.166262 + 0.185461 I, 0.377223 + 0.155694 I},
{0.228737 + 0.41598 I, -0.168449 - 0.40211 I, 0.447687 + 0.122446 I, -0.33567 - 0.0596665 I, 0.165351 + 0.312644 I, 0.320401 + 0.158675 I},
{0.296126 + 0.135991 I, -0.0371917 - 0.0461285 I, 0.0792905 + 0.536344 I, -0.101394 - 0.441823 I, 0.0694409 + 0.41652 I, 0.233136 + 0.397745 I},
{0.337618 + 0.263623 I, -0.254771 - 0.0485333 I, 0.384012 + 0.170623 I, -0.261536 - 0.142885 I, 0.0163503 + 0.34499 I, 0.395077 + 0.456604 I},
{0.262013 + 0.338502 I, -0.337766 - 0.24957 I, 0.293518 + 0.379718 I, -0.336558 - 0.14045 I, 0.153671 + 0.311566 I, 0.394982 + 0.0189613 I},
{0.448874 + 0.218231 I, -0.371385 - 0.0371524 I, 0.302633 + 0.212996 I, -0.348187 - 0.0989078 I, 0.401688 + 0.104981 I, 0.41343 + 0.0176321 I},
{0.107949 + 0.183491 I, -0.23489 - 0.0315434 I, 0.15545 + 0.413196 I, -0.437595 - 0.401611 I, 0.145923 + 0.373822 I, 0.11731 + 0.419565 I},
{0.021728 + 0.0342369 I, -0.329058 - 0.0752993 I, 0.278117 + 0.378363 I, -0.0282137 - 0.343561 I, 0.0705522 + 0.521964 I, 0.272815 + 0.439563 I},
{0.155905 + 0.225751 I, -0.269783 - 0.31354 I, 0.0987069 + 0.20965 I, -0.0207947 - 0.0164306 I, 0.389673 + 0.454345 I, 0.404609 + 0.421021 I},
{0.245434 + 0.28745 I, -0.273757 - 0.385304 I, 0.2755 + 0.26264 I, -0.323462 - 0.366768 I, 0.30972 + 0.267215 I, 0.127353 + 0.257211 I},
{0.277711 + 0.425133 I, -0.257629 - 0.185483 I, 0.484207 + 0.151971 I, -0.0530646 - 0.389846 I, 0.443339 + 0.134575 I, 0.0161956 + 0.118709 I},
{0.00919994 + 0.583079 I, -0.10262 - 0.07002 I, 0.51549 + 0.25665 I, -0.105955 - 0.304412 I, 0.251933 + 0.311681 I, 0.10226 + 0.194771 I},
{0.195284 + 0.531949 I, -0.0689335 - 0.141563 I, 0.114803 + 0.0036803 I, -0.429828 - 0.0981416 I, 0.250889 + 0.358855 I, 0.466479 + 0.192875 I},
{0.00615032 + 0.210499 I, -0.452098 - 0.422398 I, 0.110116 + 0.0803417 I, -0.314051 - 0.292052 I, 0.0999761 + 0.291869 I, 0.453918 + 0.262893 I},
{0.125595 + 0.526794 I, -0.188564 - 0.0962933 I, 0.141663 + 0.304483 I, -0.349164 - 0.507999 I, 0.182643 + 0.126119 I, 0.290201 + 0.188807 I},
{0.354198 + 0.410059 I, -0.0384198 - 0.228531 I, 0.19928 + 0.15297 I, -0.324241 - 0.395992 I, 0.227292 + 0.368276 I, 0.169859 + 0.333912 I},
{0.342763 + 0.292714 I, -0.188908 - 0.19998 I, 0.000794303 + 0.41186 I, -0.14589 - 0.212973 I, 0.285941 + 0.396408 I, 0.290039 + 0.402318 I},
{0.326187 + 0.0992069 I, -0.150684 - 0.294894 I, 0.174796 + 0.272179 I, -0.0904375 - 0.411157 I, 0.295205 + 0.414228 I, 0.370334 + 0.310401 I},
{0.232722 + 0.48946 I, -0.314585 - 0.0827714 I, 0.114675 + 0.355881 I, -0.342813 - 0.222875 I, 0.277578 + 0.209684 I, 0.1632 + 0.381849 I},
{0.272257 + 0.213101 I, -0.264047 - 0.252953 I, 0.485303 + 0.00622147 I, -0.302386 - 0.416323 I, 0.367366 + 0.00306781 I, 0.170331 + 0.287156 I},
{0.314899 + 0.441437 I, -0.203412 - 0.360104 I, 0.169962 + 0.37689 I, -0.144572 - 0.37352 I, 0.371023 + 0.126966 I, 0.158823 + 0.156733 I},
{0.3424 + 0.231437 I, -0.136295 - 0.303543 I, 0.231199 + 0.310402 I, -0.263084 - 0.271552 I, 0.422557 + 0.311913 I, 0.367191 + 0.122697 I},
{0.158861 + 0.390795 I, -0.161191 - 0.259247 I, 0.0522354 + 0.316231 I, -0.306597 - 0.326992 I, 0.229736 + 0.396627 I, 0.340252 + 0.315169 I},
